Assembly	e_faecium.contigs
# contigs (>= 0 bp)	10
# contigs (>= 1000 bp)	10
# contigs (>= 5000 bp)	9
# contigs (>= 10000 bp)	9
# contigs (>= 25000 bp)	3
# contigs (>= 50000 bp)	2
Total length (>= 0 bp)	3115034
Total length (>= 1000 bp)	3115034
Total length (>= 5000 bp)	3110809
Total length (>= 10000 bp)	3110809
Total length (>= 25000 bp)	3001870
Total length (>= 50000 bp)	2961857
# contigs	10
Largest contig	2762475
Total length	3115034
GC (%)	37.80
N50	2762475
N90	199382
auN	2463767.4
L50	1
L90	2
# N's per 100 kbp	0.00
